1.30103 7.38486 3.04152 2.54198
0.30103 0.341341 -0.756463 -2.66832
-0.69897 -0.97056 -2.77793 -6.68111
-1.69897 -1.9971 -4.77815 -10.6814
-2.69897 -2.99971 -6.77815 -12.8544
-3.69897 -3.99997 -8.77797 -12.6193
-4.69897 -5 -10.8289 -10.9223
-5.69897 -6.00001 -10.4569 -10.4569
-6.69897 -7.00223 -10.4569 -8.8619
-7.69897 -8.51589 -8.15508 -8.15508
-8.69897 -7.17217 -7.47905 -6.99672
-9.69897 -6.32873 -6.32873 -6.06032
-10.699 -6.27126 -6.27126 -4.85606
-11.699 -4.3037 -4.29444 -4.07999
-12.699 -3.34532 -3.34532 -3.05163
-13.699 -2.26167 -2.26167 -2.10128
-14.699 -2.33996 -2.33996 -2.33996
-15.699 -2.33996 -2.33996 0.128399
-16.699 0 0 0
-17.699 0 0 0
-18.699 0 0 0
-19.699 0 0 0
