1.30103 -0.0290261 0.0230063 0.092573
0.30103 -1.04238 -0.799891 -2.69417
-0.69897 -1.24153 -2.77837 -6.68137
-1.69897 -2.19695 -4.77815 -10.681
-2.69897 -3.19285 -6.77815 -12.8706
-3.69897 -4.19245 -8.77813 -11.7394
-4.69897 -5.19241 -10.889 -11.3857
-5.69897 -6.19235 -10.4854 -9.84401
-6.69897 -7.1959 -9.43996 -8.85509
-7.69897 -7.7906 -8.4443 -7.67393
-8.69897 -7.64221 -7.64221 -7.64221
-9.69897 -6.37819 -6.61783 -5.95052
-10.699 -6.37819 -6.37819 -6.37819
-11.699 -4.57176 -4.57176 -3.94019
-12.699 -3.12351 -4.03257 -2.77822
-13.699 -2.56359 -2.41281 -2.30711
-14.699 -1.25565 -1.25565 -1.25565
-15.699 -0.495687 0 0
-16.699 0 0 0
-17.699 0 0 0
-18.699 0 0 0
-19.699 0 0 0
