1.30103 7.38486 3.04152 2.54198
0.30103 0.341341 -0.756463 -2.66832
-0.69897 -0.97056 -2.77793 -6.68111
-1.69897 -1.9971 -4.77815 -10.6534
-2.69897 -2.99971 -6.77814 -11.3194
-3.69897 -3.99997 -8.76963 -10.4949
-4.69897 -4.99998 -9.47773 -9.51101
-5.69897 -6.00112 -8.59189 -8.59189
-6.69897 -6.95357 -7.22833 -7.2194
-7.69897 -7.06807 -6.19865 -5.90022
-8.69897 -5.4597 -5.44101 -4.8156
-9.69897 -4.75394 -4.75394 -3.76264
-10.699 -3.57053 -3.34718 -3.35921
-11.699 -2.73946 -2.27818 -2.27818
-12.699 -2.27818 -2.27818 -0.735533
-13.699 -0.536414 -0.378397 0.168145
-14.699 0 0 0
-15.699 0 0 0
-16.699 0 0 0
-17.699 0 0 0
-18.699 0 0 0
-19.699 0 0 0
